File,Residuals
Set C - 12 hr,0.04279467158900496
Set C - 12 hr,0.11212551067562715
Set C - 12 hr,0.04465681538937266
Set C - 12 hr,-0.11639049392446149
Set C - 12 hr,-0.043755616605234526
Set C - 12 hr,0.06064803401289842
Set C - 12 hr,0.06452743102393588
Set C - 12 hr,0.058067325371056855
Set C - 12 hr,0.056437301088914094
Set C - 12 hr,0.03823487626461197
Set C - 12 hr,0.043182042766568784
Set C - 48 hr,0.013804649438821814
Set C - 48 hr,0.07042660193095707
Set C - 48 hr,-0.04016697928025037
Set C - 48 hr,-0.12911800049103095
Set C - 48 hr,-0.14358452642911512
Set C - 48 hr,0.045524369113410845
Set C - 48 hr,-0.02970730891857043
Set C - 48 hr,0.04526371235463378
Set C - 48 hr,0.008190850401647576
Set C - 48 hr,0.009334141616004543
Set C - 1 hr,0.10773580124347745
Set C - 1 hr,0.07013894534682466
Set C - 1 hr,-0.009754591334385054
Set C - 1 hr,-0.02226208571054228
Set C - 1 hr,-0.030101472669783524
Set C - 1 hr,0.01410273756345537
Set C - 1 hr,-0.0220743384828489
Set C - 1 hr,-0.024984076628783658
Set C - 1 hr,0.03223879674271424
Set C - 1 hr,0.028530437479673987
Set C - 1 hr,0.014865673802555435
Set C - 1 hr,0.045761191629183684
Set C - 1 hr,0.0624134146875861
Set C - 24 hr,0.08621715396496038
Set C - 24 hr,-0.003522051159499995
Set C - 24 hr,-0.06479884811967718
Set C - 24 hr,-0.09356070831107943
Set C - 24 hr,-0.08180322684170449
Set C - 24 hr,-0.08223777733254334
Set C - 24 hr,0.0066948833236848415
Set C - 24 hr,-0.055664351995113326
Set C - 24 hr,-0.026948819906229327
Set C - 24 hr,-0.012837822600960336
Set C - 24 hr,0.001709074416321732
Set C - 24 hr,0.002474753824464937
Set C - 24 hr,0.0040245494295819695
Set C - 6 hr,0.08597058868689766
Set C - 6 hr,0.07397590945480403
Set C - 6 hr,0.020202987352044566
Set C - 6 hr,-0.05533140045598192
Set C - 6 hr,-0.06971392389188952
Set C - 6 hr,-0.022062196796041655
Set C - 6 hr,-0.03927307637078603
Set C - 6 hr,0.03781138668594053
Set C - 6 hr,0.027270692159602206
Set C - 6 hr,0.0007467354697437978
Set C - 6 hr,0.06236369517099172
Set C - 6 hr,0.042275894174559125
Set C - 6 hr,0.08221930228804664
