Time_Dimensionless,R_Calculated,File
2.694553770955909,0.08264122227594872,data/Set D - 1 hr.csv
8.102163754393045,0.16471755151922585,data/Set D - 1 hr.csv
13.43474507982378,0.21396286585641888,data/Set D - 1 hr.csv
26.850440317525138,0.3129579063386233,data/Set D - 1 hr.csv
53.66280797431758,0.47293353811152483,data/Set D - 1 hr.csv
79.79895903440494,0.5929329974115467,data/Set D - 1 hr.csv
106.83312355754113,0.6883900238176572,data/Set D - 1 hr.csv
132.83578577127525,0.7590178208557677,data/Set D - 1 hr.csv
160.7304300196783,0.8170904248270215,data/Set D - 1 hr.csv
216.02114126361226,0.8941039397014752,data/Set D - 1 hr.csv
270.69754542734637,0.9383177347487116,data/Set D - 1 hr.csv
323.7419565739386,0.9634870616736546,data/Set D - 1 hr.csv
2.2508544206331025,0.0721408320749094,data/Set D - 12 hr.csv
6.58620771798308,0.14718380921614993,data/Set D - 12 hr.csv
10.921035962263042,0.19233478838843288,data/Set D - 12 hr.csv
21.826586404729593,0.27788683362059863,data/Set D - 12 hr.csv
32.58360263053932,0.3508295499786782,data/Set D - 12 hr.csv
43.28415086172463,0.4159905639013315,data/Set D - 12 hr.csv
64.86816803652539,0.5281955194784141,data/Set D - 12 hr.csv
86.50692684855518,0.619048780506497,data/Set D - 12 hr.csv
108.402411977249,0.6931864192871182,data/Set D - 12 hr.csv
130.14966788918557,0.752533668017309,data/Set D - 12 hr.csv
173.56506493275518,0.838883938996475,data/Set D - 12 hr.csv
217.4955504790243,0.8956360916679712,data/Set D - 12 hr.csv
262.14642813513325,0.9328773222611214,data/Set D - 12 hr.csv
2.2144091915162236,0.07123561011532675,data/Set D - 24 hr.csv
6.581178794661595,0.14712105816462473,data/Set D - 24 hr.csv
10.955231332523912,0.19264347439660134,data/Set D - 24 hr.csv
21.809920631215626,0.2777672741914451,data/Set D - 24 hr.csv
32.55872329532638,0.35066985158835673,data/Set D - 24 hr.csv
43.25110110211987,0.4157997423648945,data/Set D - 24 hr.csv
63.81784015660769,0.5232716302645763,data/Set D - 24 hr.csv
86.44087414683484,0.6187999711923956,data/Set D - 24 hr.csv
107.89908510241993,0.6916561410468572,data/Set D - 24 hr.csv
129.5453656010367,0.7510510372809732,data/Set D - 24 hr.csv
172.7591791584567,0.8375953685856328,data/Set D - 24 hr.csv
216.48568959387342,0.8945890928517133,data/Set D - 24 hr.csv
260.92924726236305,0.9320648575358396,data/Set D - 24 hr.csv
2.9618225623941346,0.08853613689912765,data/Set D - 48 hr.csv
8.836785242682177,0.17241267935358406,data/Set D - 48 hr.csv
14.652870598451315,0.22385510608110548,data/Set D - 48 hr.csv
29.17126394214932,0.3285518378529869,data/Set D - 48 hr.csv
58.074807530371906,0.4954256445683006,data/Set D - 48 hr.csv
87.37354558060376,0.6222981830409249,data/Set D - 48 hr.csv
116.973816481923,0.7181107399858689,data/Set D - 48 hr.csv
144.87997860660766,0.7860656123175599,data/Set D - 48 hr.csv
175.98710209996045,0.8426954409066848,data/Set D - 48 hr.csv
232.87410147347032,0.9103537780675827,data/Set D - 48 hr.csv
291.81610315361394,0.9499388542335301,data/Set D - 48 hr.csv
353.09557187590417,0.9726828678820533,data/Set D - 48 hr.csv
2.1718216735501827,0.07016916378054561,data/Set D - 6 hr.csv
6.4546095612775485,0.1455300667617434,data/Set D - 6 hr.csv
10.74454032075649,0.19073370984155813,data/Set D - 6 hr.csv
21.4738453857,0.2753514006721105,data/Set D - 6 hr.csv
31.932553919564622,0.34663747687725843,data/Set D - 6 hr.csv
42.75061377872374,0.4129024113932871,data/Set D - 6 hr.csv
63.819828955819304,0.5232810020550023,data/Set D - 6 hr.csv
85.10888222936293,0.6137477589280582,data/Set D - 6 hr.csv
107.06620213338732,0.6891071216489352,data/Set D - 6 hr.csv
127.54916436372145,0.7460900134705863,data/Set D - 6 hr.csv
170.76006754762545,0.8343542241189085,data/Set D - 6 hr.csv
213.980589378656,0.8919462965072993,data/Set D - 6 hr.csv
256.90851457292825,0.9293104801844083,data/Set D - 6 hr.csv
