Iteration,ObjectiveFunctionValue
1,13.850482650555115
2,1.2769630982848097
3,1.2765567938325355
4,1.1829938944196854
5,1.174426534496608
6,0.8037523458874484
7,0.7885914070961668
8,0.6431187631226888
9,0.6073450523354337
10,0.6058921865551469
11,0.5369522693767902
12,0.4783624269118565
13,0.4541384688979074
14,0.3983732744850263
15,0.35583593195828445
16,0.35560409316227753
17,0.35452995056696956
18,0.328130432726955
19,0.30819593951509017
20,0.29874631155740033
21,0.2793523094596967
22,0.27632467177652587
23,0.261633114240295
24,0.2604303771450482
25,0.26017091873198567
26,0.2590550032338854
27,0.2581426299865102
28,0.2578775922812742
29,0.2572297403443378
30,0.2562221245098161
31,0.25287422596544806
32,0.24267453230685443
33,0.24148887210816186
34,0.2400920935510033
35,0.2400398423462837
36,0.24002795854327183
37,0.23775709472125994
38,0.23671329706222255
39,0.230158393177337
40,0.22748605082599266
41,0.21861232511269352
42,0.2177865399692942
43,0.2176437473048589
44,0.2135455475449899
45,0.21338537663520563
46,0.21290713202894065
47,0.21161231887304838
48,0.21150158144167666
49,0.2082683002150894
50,0.20779840120927495
51,0.20757917916794388
52,0.20690251625179704
53,0.20674851815363715
54,0.20551770491473612
55,0.20543351386521083
56,0.20528553671302308
57,0.20492437932215024
58,0.20470431915062662
59,0.2042398769170598
60,0.2042077624460207
61,0.20391524895368524
62,0.20376218711053914
63,0.2031831450040509
64,0.20264780773015958
65,0.20249087065889565
66,0.20248855919618847
67,0.20158180067185524
68,0.20139447027839844
69,0.20129772582893915
70,0.2011574492018331
71,0.2011218067533695
72,0.2009460541140375
73,0.200829361311524
74,0.20076602317634834
75,0.20075621694961296
76,0.198752801601953
77,0.19874420006714638
78,0.19859479737321442
79,0.1983618022397967
80,0.19835608164749555
81,0.19812123367433976
82,0.19794756782335543
83,0.19767376450244795
84,0.19764796502363718
85,0.1974692178079805
86,0.19737957718403223
87,0.19638007358831544
88,0.196349346140165
89,0.19623908439109078
90,0.19611250673156674
91,0.19543975427494714
92,0.19509298953747065
93,0.19507517303820776
94,0.19502807064029046
95,0.19486028570220762
96,0.19477042785034174
97,0.1946715424152572
98,0.1944707134462112
99,0.19425206172741658
100,0.19421724460689274
101,0.19372831644435323
102,0.1934305812900328
103,0.19342101265858722
104,0.19336677469929706
105,0.1933663619729681
106,0.19303043140150972
107,0.19290594262514563
108,0.19287575432660464
109,0.19266794952761068
110,0.19263785726265115
111,0.19217895577630048
112,0.1920885337630227
113,0.1915945350096842
114,0.19157316420949475
115,0.19150761669153954
116,0.19141365792627388
117,0.19132379275868006
118,0.1910164610714173
119,0.19090382244673795
120,0.19082685540663294
121,0.19027037220147328
122,0.18954272360412414
123,0.1895298807659384
124,0.18928658505228563
125,0.1892281256765066
126,0.1891652708107192
127,0.189142343730158
128,0.18732085467542686
129,0.18729044252195898
130,0.18676544779028662
131,0.1866555692934692
132,0.18645438842172143
133,0.18637849552377325
134,0.18635315907097505
135,0.18602971494190762
136,0.18593036657435752
137,0.18586853418875723
138,0.18556906916976576
139,0.1850110517669221
140,0.18489971470630867
141,0.18485687123394492
142,0.18477167720263715
143,0.18471541989032011
144,0.18469198795263422
145,0.18465942560234572
146,0.1845863941360302
147,0.18385843211818295
148,0.18354340874267092
149,0.18293250193817995
150,0.18282175158116262
151,0.1828123244916332
152,0.18274943922503656
153,0.18262903542078476
154,0.1826188962342506
155,0.18257766244407872
156,0.18239540361087225
157,0.1815320649594426
158,0.1812215061865474
159,0.18110361626928587
160,0.1808512279781521
161,0.18078314840935555
162,0.18057650600922248
163,0.1804774563594006
164,0.18030778009103646
165,0.18029123045727707
166,0.1800319473481271
167,0.17965327041135556
168,0.1790121092237438
169,0.1789853885441019
170,0.17872942097226027
171,0.17863054314807006
172,0.1785198749991883
173,0.17850757109540627
174,0.17850214247480087
175,0.1783941541909441
176,0.17728644706722047
177,0.1770475017915571
178,0.17658064724391032
179,0.17648555494284496
180,0.1758107650984304
181,0.17579058780100207
182,0.17573032106843492
183,0.1756837914892199
184,0.17540569438290685
185,0.17531619080359342
186,0.1751656494469309
187,0.17469977927587865
188,0.1744662930032404
189,0.17398604135088286
190,0.17389707595129522
191,0.17307272578048885
192,0.17307095097306557
193,0.17301348009127554
194,0.17288149273789177
195,0.1726460567014824
196,0.17252488128269644
197,0.1710884974448048
198,0.17105530307983138
199,0.1710315204688483
200,0.17100710009445907
201,0.1700265910277758
202,0.16985032520951474
203,0.16975195398902293
204,0.1696248452290241
205,0.1695926755512785
206,0.16957577316333122
207,0.16823030651176898
208,0.16822515805617716
209,0.1682159786721964
210,0.16812014070488387
211,0.1679994014142098
212,0.1678928070873024
213,0.1676127448138852
214,0.16723882580665206
215,0.166986433060471
216,0.16692101486235875
217,0.16657783780333985
218,0.16612818831323323
219,0.1661218443898346
220,0.16597814778623748
221,0.16563939241019812
222,0.16556164065670959
223,0.16535066411822152
224,0.16529222503730295
225,0.1651241427752092
226,0.16492569013531383
227,0.1640587656456218
228,0.16363555061175655
229,0.16360635289299458
230,0.16359351019482823
231,0.16358439587541249
232,0.16316968707257876
233,0.16278266136741731
234,0.16273301754973066
235,0.16261748210651036
236,0.16245703090287755
237,0.16245111936164952
238,0.1622309743523265
239,0.16168537993864063
240,0.16129723453892747
241,0.16121346015855317
242,0.16049760172868888
243,0.16015508690973201
244,0.15991038675597702
245,0.15989081042475384
246,0.15988761716468036
247,0.15982206288649695
248,0.15887988618715063
249,0.1582524063935778
250,0.15825165457440385
251,0.1580467987757982
252,0.15794822032536143
253,0.15778711718485638
254,0.15742714623414716
255,0.157387700844392
256,0.1569675567039983
257,0.15678172713422747
258,0.15656297238372627
259,0.15634418156316943
260,0.1562296226447461
261,0.1562270881206153
262,0.1561315797655994
263,0.15605788745407834
264,0.15533876084338955
265,0.15500053521706345
266,0.15460624695553088
267,0.15459468785095687
268,0.15458519130986842
269,0.15440207975645295
270,0.15369947383755345
271,0.1535309570226094
272,0.1535240158813409
273,0.1533522537668557
274,0.15334230158677573
275,0.15329649465234052
276,0.15272863397780337
277,0.1527204035962524
278,0.15271166000624387
279,0.15263341360921465
280,0.15254958872007346
281,0.1517856368737979
282,0.15177246101943032
283,0.15168037728943853
284,0.15165216944252752
285,0.15143832099191704
286,0.15101086285336734
287,0.1508358173428739
288,0.1507902834976667
289,0.15073605188887673
290,0.15068637659212683
