File,Residuals
Set D - 48 hr,0.03267605733381204
Set D - 48 hr,-0.020902969082684797
Set D - 48 hr,-0.011741387542651471
Set D - 48 hr,0.18659216339086027
Set D - 48 hr,0.08032575545451148
Set D - 48 hr,-0.04654562175994159
Set D - 48 hr,0.009157950314970242
Set D - 48 hr,-0.028493129199413825
Set D - 48 hr,-0.05481923316750492
Set D - 48 hr,-0.09217360900185523
Set D - 48 hr,-0.0408489692285372
Set D - 48 hr,0.0273165149911464
Set D - 6 hr,-0.009463242757734809
Set D - 6 hr,-0.014539702087162654
Set D - 6 hr,-0.021406881839033248
Set D - 6 hr,-0.029346166020766146
Set D - 6 hr,-0.05909607240055781
Set D - 6 hr,-0.055071155324615706
Set D - 6 hr,-0.008897031520836096
Set D - 6 hr,-0.05143859201868628
Set D - 6 hr,0.023362718091850976
Set D - 6 hr,0.020693156267133417
Set D - 6 hr,0.02508000847836811
Set D - 6 hr,0.08569737769435604
Set D - 6 hr,0.07069586367978709
Set D - 1 hr,-0.015373603265785851
Set D - 1 hr,-0.04588449393176536
Set D - 1 hr,-0.07719387380672332
Set D - 1 hr,-0.11564792330309528
Set D - 1 hr,-0.06709777770070907
Set D - 1 hr,-0.025659325092817098
Set D - 1 hr,-0.026944646433275432
Set D - 1 hr,0.059378427420183955
Set D - 1 hr,0.08202283960695078
Set D - 1 hr,0.07899848178625346
Set D - 1 hr,0.03478261820957829
Set D - 1 hr,0.03651738875755561
Set D - 24 hr,0.010399599189014813
Set D - 24 hr,0.056959699123614205
Set D - 24 hr,0.15429213702319428
Set D - 24 hr,0.15080170295762785
Set D - 24 hr,0.11871767550863666
Set D - 24 hr,0.09440601114862757
Set D - 24 hr,0.027753098855735625
Set D - 24 hr,-0.02695718052081708
Set D - 24 hr,-0.12022067498422861
Set D - 24 hr,-0.05716629379816107
Set D - 24 hr,-0.1028946808031177
Set D - 24 hr,-0.07825675056307646
Set D - 24 hr,0.06793979978729248
Set D - 12 hr,-0.02111992056931663
Set D - 12 hr,-0.014534645204274887
Set D - 12 hr,-0.029076261443410495
Set D - 12 hr,-0.08401748117248664
Set D - 12 hr,-0.14675582110701357
Set D - 12 hr,0.022777446272857382
Set D - 12 hr,0.053430448127237185
Set D - 12 hr,0.02380245788919666
Set D - 12 hr,-0.029926280843824093
Set D - 12 hr,0.022972037791947675
Set D - 12 hr,-0.022560765436214103
Set D - 12 hr,0.0737492083320469
Set D - 12 hr,0.06712091568576017
