File,Residuals
Set B - 12 hr,0.03319046122527425
Set B - 12 hr,0.02096617040715404
Set B - 12 hr,-0.012422160738327165
Set B - 12 hr,-0.08141630730378291
Set B - 12 hr,-0.08507826306563471
Set B - 12 hr,-0.06754309456494423
Set B - 12 hr,-0.07531756018971447
Set B - 12 hr,-0.03468834210464239
Set B - 12 hr,-0.01655287002408312
Set B - 12 hr,-0.007323850692220413
Set B - 12 hr,0.07156367167459521
Set B - 12 hr,0.14244898167806885
Set B - 12 hr,0.1089554359736511
Set B - 6 hr,0.004230647432414424
Set B - 6 hr,-0.0243697949092573
Set B - 6 hr,-0.05409625743093956
Set B - 6 hr,-0.026288420906539656
Set B - 6 hr,-0.03064982747981898
Set B - 6 hr,0.002979899126053509
Set B - 6 hr,-0.003900526135783955
Set B - 6 hr,0.02510648236024038
Set B - 6 hr,-0.014120699714631813
Set B - 6 hr,0.036781223189996104
Set B - 6 hr,0.008561473539547393
Set B - 6 hr,0.043893762688786975
Set B - 1 hr,0.03748277125840212
Set B - 1 hr,-0.027963328746443
Set B - 1 hr,-0.031124897905056875
Set B - 1 hr,0.011363345432918892
Set B - 1 hr,0.015499836284243784
Set B - 1 hr,0.010587444002429391
Set B - 1 hr,0.0012325639281325351
Set B - 1 hr,-0.02293315023820275
Set B - 1 hr,-0.005495335874426965
Set B - 1 hr,-0.006019191532200208
Set B - 1 hr,0.013046312556837969
Set B - 0 hr,0.15543045959406113
Set B - 0 hr,0.04856121735371138
Set B - 0 hr,0.08696854384829528
Set B - 0 hr,0.04622027322520772
Set B - 0 hr,0.0002745093627780637
Set B - 0 hr,-0.03789627722028832
Set B - 0 hr,-0.0936895580108319
Set B - 0 hr,-0.09018959973250085
Set B - 0 hr,-0.06774862559085038
Set B - 0 hr,-0.05301682008853448
Set B - 0 hr,-0.04259735234104789
Set B - 0 hr,-0.019170083889454625
Set B - 0 hr,0.00012290448494600703
Set B - 48 hr,0.0012129579090754076
Set B - 48 hr,0.004217319500562158
Set B - 48 hr,-0.004636813034991381
Set B - 48 hr,-0.04462061880710197
Set B - 48 hr,-0.08814516026669164
Set B - 48 hr,-0.12570472605088892
Set B - 48 hr,-0.1700979116149379
Set B - 48 hr,-0.043882023533983405
Set B - 48 hr,-0.024347067588412707
Set B - 48 hr,-0.047743665433543636
Set B - 48 hr,0.05853208898404194
Set B - 48 hr,0.1160084136835623
Set B - 48 hr,0.20573348839250916
Set B - 24 hr,0.008100215415933077
Set B - 24 hr,-0.0030546376142402895
Set B - 24 hr,-0.028325662294627497
Set B - 24 hr,-0.0900478053333654
Set B - 24 hr,-0.13480315546037408
Set B - 24 hr,-0.06277247301391115
Set B - 24 hr,-0.06096266876171885
Set B - 24 hr,-0.03230613537746507
Set B - 24 hr,0.11896001041777693
Set B - 24 hr,0.15363501915573463
Set B - 24 hr,0.11345486969594465
