Time_Dimensionless,R_Calculated,File
176.08260077474597,0.5148857938414948,data/synthetic Set E - No1.csv
212.52404336986734,0.5764657536140028,data/synthetic Set E - No1.csv
248.9654859649887,0.6298364963545295,data/synthetic Set E - No1.csv
285.40692856011,0.6760947870894816,data/synthetic Set E - No1.csv
321.84837115523135,0.7161908472909062,data/synthetic Set E - No1.csv
358.2898137503527,0.7509479352801404,data/synthetic Set E - No1.csv
394.73125634547404,0.7810793103971446,data/synthetic Set E - No1.csv
431.17269894059535,0.807202930503495,data/synthetic Set E - No1.csv
467.6141415357167,0.8298541856795059,data/synthetic Set E - No1.csv
504.0555841308381,0.8494969305092763,data/synthetic Set E - No1.csv
540.4970267259594,0.8665330422877208,data/synthetic Set E - No1.csv
576.9384693210808,0.8813107021084206,data/synthetic Set E - No1.csv
613.3799119162021,0.8941315694744909,data/synthetic Set E - No1.csv
649.8213545113235,0.9052569982743123,data/synthetic Set E - No1.csv
686.2627971064449,0.9149134222100959,data/synthetic Set E - No1.csv
722.704239701566,0.9232970206527883,data/synthetic Set E - No1.csv
759.1456822966875,0.9305777610691022,data/synthetic Set E - No1.csv
795.5871248918088,0.9369029013199459,data/synthetic Set E - No1.csv
832.0285674869301,0.9424000239995014,data/synthetic Set E - No1.csv
868.4700100820515,0.9471796653413055,data/synthetic Set E - No1.csv
904.9114526771729,0.9513375928632393,data/synthetic Set E - No1.csv
941.3528952722942,0.9549567786851533,data/synthetic Set E - No1.csv
977.7943378674155,0.9581091091818064,data/synthetic Set E - No1.csv
1014.2357804625368,0.9608568662006616,data/synthetic Set E - No1.csv
1050.6772230576582,0.9632540103668819,data/synthetic Set E - No1.csv
1087.1186656527796,0.9653472929196334,data/synthetic Set E - No1.csv
1123.5601082479009,0.9671772189904744,data/synthetic Set E - No1.csv
1160.0015508430222,0.9687788821733829,data/synthetic Set E - No1.csv
1196.4429934381435,0.9701826875837863,data/synthetic Set E - No1.csv
1232.8844360332648,0.9714149783061236,data/synthetic Set E - No1.csv
1269.3258786283864,0.9724985781386767,data/synthetic Set E - No1.csv
1305.7673212235077,0.9734532618196066,data/synthetic Set E - No1.csv
1342.208763818629,0.9742961624237858,data/synthetic Set E - No1.csv
1378.6502064137503,0.9750421243253489,data/synthetic Set E - No1.csv
1415.0916490088716,0.9757040089991926,data/synthetic Set E - No1.csv
1451.533091603993,0.9762929599628478,data/synthetic Set E - No1.csv
1487.9745341991145,0.9768186323181776,data/synthetic Set E - No1.csv
1524.4159767942358,0.9772893916228946,data/synthetic Set E - No1.csv
1560.857419389357,0.9777124861898921,data/synthetic Set E - No1.csv
1597.2988619844782,0.9780941963648278,data/synthetic Set E - No1.csv
1633.7403045795995,0.978439963858011,data/synthetic Set E - No1.csv
1670.181747174721,0.9787545037956364,data/synthetic Set E - No1.csv
1706.6231897698424,0.9790419017993157,data/synthetic Set E - No1.csv
1743.0646323649637,0.9793056980943518,data/synthetic Set E - No1.csv
1779.506074960085,0.9795489603799085,data/synthetic Set E - No1.csv
1815.9475175552063,0.9797743469626542,data/synthetic Set E - No1.csv
1852.3889601503279,0.9799841614548253,data/synthetic Set E - No1.csv
1888.8304027454492,0.9801804001638267,data/synthetic Set E - No1.csv
1925.2718453405705,0.9803647931498929,data/synthetic Set E - No1.csv
1961.713287935692,0.9805388397978473,data/synthetic Set E - No1.csv
1998.1547305308131,0.9807038396359599,data/synthetic Set E - No1.csv
2034.5961731259345,0.9808609190369625,data/synthetic Set E - No1.csv
2071.0376157210558,0.981011054351425,data/synthetic Set E - No1.csv
2107.479058316177,0.9811550919501839,data/synthetic Set E - No1.csv
2143.920500911299,0.9812937655888188,data/synthetic Set E - No1.csv
2180.3619435064197,0.9814277114519914,data/synthetic Set E - No1.csv
2216.8033861015415,0.9815574811876527,data/synthetic Set E - No1.csv
2253.2448286966624,0.9816835531997002,data/synthetic Set E - No1.csv
2289.6862712917837,0.9818063424317844,data/synthetic Set E - No1.csv
2326.1277138869054,0.9819262088438674,data/synthetic Set E - No1.csv
2362.5691564820263,0.982043464756202,data/synthetic Set E - No1.csv
2399.010599077148,0.9821583812120621,data/synthetic Set E - No1.csv
2435.452041672269,0.9822711934903321,data/synthetic Set E - No1.csv
2471.8934842673907,0.9823821058815462,data/synthetic Set E - No1.csv
2508.334926862512,0.9824912958257948,data/synthetic Set E - No1.csv
2544.7763694576333,0.9825989174977577,data/synthetic Set E - No1.csv
2581.2178120527547,0.9827051049127405,data/synthetic Set E - No1.csv
2617.659254647876,0.9828099746177114,data/synthetic Set E - No1.csv
2654.1006972429973,0.9829136280227903,data/synthetic Set E - No1.csv
2690.542139838119,0.9830161534212319,data/synthetic Set E - No1.csv
2726.98358243324,0.9831176277395228,data/synthetic Set E - No1.csv
2763.4250250283612,0.9832181180536541,data/synthetic Set E - No1.csv
2799.8664676234825,0.9833176829028116,data/synthetic Set E - No1.csv
2836.307910218604,0.9834163734275527,data/synthetic Set E - No1.csv
2872.749352813725,0.983514234355919,data/synthetic Set E - No1.csv
2909.1907954088465,0.9836113048578043,data/synthetic Set E - No1.csv
2945.6322380039683,0.9837076192851812,data/synthetic Set E - No1.csv
2982.073680599089,0.9838032078134349,data/synthetic Set E - No1.csv
3018.515123194211,0.9838980969970201,data/synthetic Set E - No1.csv
3054.9565657893318,0.9839923102508882,data/synthetic Set E - No1.csv
3091.3980083844535,0.9840858682676011,data/synthetic Set E - No1.csv
3127.839450979575,0.984178789378728,data/synthetic Set E - No1.csv
3164.280893574696,0.9842710898679657,data/synthetic Set E - No1.csv
