File,Residuals
Set D - 48 hr,0.032675985357124876
Set D - 48 hr,-0.020897530112019724
Set D - 48 hr,-0.011733897640618107
Set D - 48 hr,0.18659967505121344
Set D - 48 hr,0.0803319322660958
Set D - 48 hr,-0.04654060450200903
Set D - 48 hr,0.009161991046775952
Set D - 48 hr,-0.028489851002496125
Set D - 48 hr,-0.05481664964499655
Set D - 48 hr,-0.09217195678632462
Set D - 48 hr,-0.04084794287115723
Set D - 48 hr,0.027317133664143678
Set D - 6 hr,-0.009466286690969168
Set D - 6 hr,-0.014539652457122576
Set D - 6 hr,-0.021404639227492223
Set D - 6 hr,-0.02934501341944687
Set D - 6 hr,-0.05909754175418702
Set D - 6 hr,-0.05507493493859317
Set D - 6 hr,-0.008904002840107839
Set D - 6 hr,-0.051447435848949175
Set D - 6 hr,0.023352946635919247
Set D - 6 hr,0.020683154222189692
Set D - 6 hr,0.025070700587538797
Set D - 6 hr,0.08568948986949543
Set D - 6 hr,0.07068952302371567
Set D - 1 hr,-0.015376646993127463
Set D - 1 hr,-0.0458834731167061
Set D - 1 hr,-0.0771915690380312
Set D - 1 hr,-0.11564849179519157
Set D - 1 hr,-0.06710394131073522
Set D - 1 hr,-0.025668421295232502
Set D - 1 hr,-0.026955043287614666
Set D - 1 hr,0.059367832543942844
Set D - 1 hr,0.08201271759151851
Set D - 1 hr,0.0789902337452375
Set D - 1 hr,0.034776438026503986
Set D - 1 hr,0.03651294000019556
Set D - 24 hr,0.010397044600362088
Set D - 24 hr,0.05696057342356309
Set D - 24 hr,0.15429529815056636
Set D - 24 hr,0.15080415222826882
Set D - 24 hr,0.11871790277204264
Set D - 24 hr,0.09440434011519971
Set D - 24 hr,0.02774878091351951
Set D - 24 hr,-0.02696323242039178
Set D - 24 hr,-0.12022756474195884
Set D - 24 hr,-0.05717348111414211
Set D - 24 hr,-0.10290148597856186
Set D - 24 hr,-0.0782625580206735
Set D - 24 hr,0.06793514587415272
Set D - 12 hr,-0.02112042213628281
Set D - 12 hr,-0.014530749101958562
Set D - 12 hr,-0.029069485159867875
Set D - 12 hr,-0.08400928505964278
Set D - 12 hr,-0.14674791824907807
Set D - 12 hr,0.02278494691055377
Set D - 12 hr,0.05343713611498002
Set D - 12 hr,0.02380836612777837
Set D - 12 hr,-0.029921108646993932
Set D - 12 hr,0.022976540743098184
Set D - 12 hr,-0.022557403733577397
Set D - 12 hr,0.07375166729373417
Set D - 12 hr,0.06712268085073458
