File,Residuals
Set A - 48 hr,-0.007100144545189667
Set A - 48 hr,-0.041067967170056174
Set A - 48 hr,-0.08478042266735408
Set A - 48 hr,-0.10162430548569781
Set A - 48 hr,-0.10731603091470057
Set A - 48 hr,-0.05848091551915918
Set A - 48 hr,-0.045890243674242215
Set A - 48 hr,-0.025426512084587793
Set A - 48 hr,0.051435995016804625
Set A - 48 hr,0.13404909586994362
Set A - 48 hr,0.09731235325491816
Set A - 48 hr,0.09606703647059489
Set A - 1 hr,0.08233782647005597
Set A - 1 hr,0.0637841159195763
Set A - 1 hr,-0.003972148664402181
Set A - 1 hr,-0.00046155248724422115
Set A - 1 hr,0.026776793271230948
Set A - 1 hr,0.004911599842808756
Set A - 1 hr,-0.022667459429663084
Set A - 1 hr,-0.01290007369156676
Set A - 1 hr,-0.01699347146257013
Set A - 1 hr,-0.02968187487713214
Set A - 1 hr,-0.022022034264328028
Set A - 1 hr,-0.017295346363558894
Set A - 1 hr,-0.0027215415247622277
Set A - 1 hr,0.0008889330241299565
Set A - 6 hr,0.05195046440159565
Set A - 6 hr,-0.025723628835519624
Set A - 6 hr,-0.010001345538495188
Set A - 6 hr,0.01320335634852876
Set A - 6 hr,0.03308850710904854
Set A - 6 hr,-0.0029177367808999044
Set A - 6 hr,-0.001861541054852922
Set A - 6 hr,-0.029504147027934247
Set A - 6 hr,-0.006788557506603676
Set A - 6 hr,-0.0015023425159162995
Set A - 6 hr,0.001043164413690234
Set A - 6 hr,0.009756595031774506
Set A - 0 hr,0.14532433988550036
Set A - 0 hr,0.07566864555509323
Set A - 0 hr,0.06624626543774065
Set A - 0 hr,-0.015120030425962772
Set A - 0 hr,-0.07421932772904816
Set A - 0 hr,-0.07698928562975405
Set A - 0 hr,-0.06901884652660362
Set A - 0 hr,-0.06215776145981322
Set A - 0 hr,-0.049182116392533226
Set A - 0 hr,-0.0578493910978467
Set A - 0 hr,-0.023028715685927015
Set A - 0 hr,1.2957718851902555e-5
Set A - 24 hr,-0.08893765697604977
Set A - 24 hr,0.02750354718483533
Set A - 24 hr,0.00652991131005376
Set A - 24 hr,-0.023484648052580548
Set A - 24 hr,-0.04308344835043465
Set A - 24 hr,0.016455613388847046
Set A - 24 hr,0.026358577947778183
Set A - 24 hr,0.03163120771533645
Set A - 24 hr,0.0620657187518997
Set A - 12 hr,0.0016567193631477836
Set A - 12 hr,0.014908311341293973
Set A - 12 hr,-0.031025123094623325
Set A - 12 hr,-0.05545730021384809
Set A - 12 hr,-0.03404025262174937
Set A - 12 hr,0.009289186920092729
Set A - 12 hr,0.0030835318761596175
Set A - 12 hr,-0.03131591516437571
Set A - 12 hr,0.006879756354093547
Set A - 12 hr,0.02232267240809782
Set A - 12 hr,0.03886938536537565
Set A - 12 hr,0.03904432811346603
Set A - 12 hr,0.036218432850479765
Set A - 12 hr,0.02422478516218962
