File,a1,a2,a3,λ1,λ2,λ3,θ_deg,OptimizationMethod,ExecutionTime
data/Set B - 0 hr.csv,1.8489216690226507e-16,0.9999999999999999,1.8146289533688226e-17,9.640018256442229e19,0.0010369967476448114,1.9341841737934775e14,0.07259303297907042,Fminbox(NelderMead),00:10:25
data/Set B - 1 hr.csv,1.8489216690226507e-16,0.9999999999999999,1.8146289533688226e-17,9.640018256442229e19,0.0010369967476448114,1.9341841737934775e14,60.92121959441759,Fminbox(NelderMead),00:10:25
data/Set B - 12 hr.csv,1.8489216690226507e-16,0.9999999999999999,1.8146289533688226e-17,9.640018256442229e19,0.0010369967476448114,1.9341841737934775e14,75.5360340872269,Fminbox(NelderMead),00:10:25
data/Set B - 24 hr.csv,1.8489216690226507e-16,0.9999999999999999,1.8146289533688226e-17,9.640018256442229e19,0.0010369967476448114,1.9341841737934775e14,75.88341808621684,Fminbox(NelderMead),00:10:25
data/Set B - 48 hr.csv,1.8489216690226507e-16,0.9999999999999999,1.8146289533688226e-17,9.640018256442229e19,0.0010369967476448114,1.9341841737934775e14,79.7166644110655,Fminbox(NelderMead),00:10:25
data/Set B - 6 hr.csv,1.8489216690226507e-16,0.9999999999999999,1.8146289533688226e-17,9.640018256442229e19,0.0010369967476448114,1.9341841737934775e14,69.29910629029574,Fminbox(NelderMead),00:10:25
