Iteration,ObjectiveFunctionValue
1,23.863214589150274
2,4.131923108223494
3,1.785651867365588
4,1.750284920467722
5,1.7091979673498274
6,1.4039857727435017
7,1.4016638417696672
8,1.3014126460595017
9,1.1553380376761286
10,1.0297142756634272
11,1.0050605814566957
12,0.9605798305390487
13,0.871411278740307
14,0.8185402321585562
15,0.8002635246804469
16,0.71335896796811
17,0.69484912496014
18,0.6806065298977577
19,0.6779578906329067
20,0.6627993912198679
21,0.6458021220987767
22,0.5536008427306987
23,0.5517355763262802
24,0.5400846494266319
25,0.5120307989531645
26,0.508896855961653
27,0.5060812700880135
28,0.5059521637954595
29,0.5021488477487954
30,0.4999548711886396
31,0.4953806426532123
32,0.494664682080802
33,0.4780447667188907
34,0.4706544891521606
35,0.46333558997130747
36,0.4630126716904673
37,0.4578529649839939
38,0.4551711018133432
39,0.45132392304092633
40,0.45125978332413513
41,0.4336238922698053
42,0.4310046283811475
43,0.4280420521240789
44,0.4126640722391785
45,0.3921671721816545
46,0.3881005535286882
47,0.38678489818043316
48,0.38618244927343504
49,0.3857285975541034
50,0.38443354265805124
51,0.3839581748088272
52,0.38385221940349235
53,0.38377328346227235
54,0.3834648077444395
55,0.38306609597601354
56,0.38299514670978957
57,0.38294911665962056
58,0.38144189712625653
59,0.3812570062296588
60,0.3799298031119947
61,0.3798250206350383
62,0.3796732535166499
63,0.3791071361458841
64,0.37888105180549325
65,0.3788482416670231
66,0.3787496985155261
67,0.37873241601798985
68,0.3776734271469456
69,0.37642776532375727
70,0.3763749009112955
71,0.3763371771489275
72,0.37613029111570645
73,0.3758737507670869
74,0.3757675062272714
75,0.37550047596704766
76,0.3754672297882456
77,0.3746476723829595
78,0.37421477158482863
79,0.3728477951027718
80,0.3725587557751914
81,0.3725417391275704
82,0.3724842135020205
83,0.37237886751089755
84,0.3723756045390851
85,0.372364240283176
86,0.3721260095210946
87,0.3720492119028299
88,0.37161908804386773
89,0.3708775460670001
90,0.37082193561494065
91,0.36938082008481815
92,0.36931910978265564
93,0.3692469997273134
94,0.3687708228329178
95,0.3687527629895032
96,0.36847366151059735
97,0.36833308242300056
98,0.3682475101512911
99,0.3670809888450399
100,0.36636806843945857
101,0.366208423788439
102,0.3654003996715784
103,0.36520745568020374
104,0.3649256405703481
105,0.36489170097429396
106,0.36479065619380235
107,0.3647552293960965
108,0.36340783510318175
109,0.3633318199104409
110,0.3632984110479033
111,0.36311147273726946
112,0.36308988155012095
113,0.3628043587661686
114,0.36270603777843113
115,0.3622116945967322
116,0.36220852949631066
117,0.36207540435457086
118,0.3613158644955175
119,0.3613096534907496
120,0.3612014728476983
121,0.36098119620453134
122,0.36050845371281165
123,0.3603197749016973
124,0.36005860936717193
125,0.3600256975730537
126,0.35969985799117654
127,0.359662555923381
128,0.35962179393727806
129,0.3593214962315962
130,0.35909298623726216
131,0.3590522703840312
132,0.35887371897726117
133,0.3581291664871445
134,0.35761363741158075
135,0.357491204199735
136,0.35748467068867085
137,0.3567105558214507
138,0.35665942234352194
139,0.3566372840702619
140,0.3556105445313268
141,0.3555944405021804
142,0.35545031497860885
143,0.354374392080743
144,0.35418881071354935
145,0.35412963474114945
146,0.35410843053760804
147,0.3540787118129288
148,0.35383206440553644
149,0.35382290019405715
150,0.3530665767272807
151,0.35301593600646347
152,0.3528224570425307
153,0.35260064088486476
154,0.35254716658884055
155,0.35236013706075925
156,0.3523075073428623
157,0.35230010184391547
158,0.3522517001255046
159,0.34983158913377793
160,0.3498143360286587
161,0.3494708856468141
162,0.34944398625298634
163,0.34938185844464076
164,0.34918966990234523
165,0.3489933061617724
166,0.34816856775116023
167,0.3481354627572596
168,0.3475743253197728
169,0.3474796001815825
170,0.34637971542368523
171,0.3463664199578431
172,0.3449673503055346
173,0.34494160325345596
174,0.3444824185432039
175,0.3438892855576522
176,0.3438159017855604
177,0.3435302655890232
178,0.3435180466467107
179,0.3435105628991036
180,0.3435026474777758
181,0.3420232956336636
182,0.34200031465245107
183,0.34186222112475056
184,0.34140066454674084
185,0.3407716810016892
186,0.34028886607960124
187,0.34020285671512857
188,0.33966575547012445
189,0.3394593100264277
190,0.33942473424942377
191,0.3393904129953254
192,0.33886724677249436
193,0.3386377250874155
194,0.3383509499947298
195,0.33698294268760787
196,0.33686239566358855
197,0.33683391135632024
198,0.33679599090991474
199,0.3367421991339458
200,0.3364351894364928
201,0.3363627753622129
202,0.33625531987990315
203,0.33599624867392835
204,0.3355359573028117
205,0.3341807733659258
206,0.33409374236601536
207,0.33379158658017183
208,0.3337642980998619
209,0.3336156113530685
210,0.33338060070202696
211,0.33259137293498087
212,0.3325701931507127
213,0.33251234388997497
214,0.3311392086905278
215,0.33062280011406253
216,0.3305711004597964
217,0.32869571667673264
218,0.32868015962137775
219,0.3286721952048954
220,0.3286542223645697
221,0.32841812078775134
222,0.32726784063871234
223,0.3269404380407154
224,0.326836815141098
225,0.3266432081372194
226,0.326330956850026
227,0.3261416808279749
228,0.32600847504811126
229,0.3258105379965369
230,0.3254311861303881
231,0.3252396120692511
232,0.32516768797255213
233,0.3238904803450767
234,0.32254472668837103
235,0.3224563123145477
236,0.32165003623902966
237,0.32163549932925584
238,0.3216202606921341
239,0.32142334592145494
240,0.321334592616847
241,0.32128054275881224
242,0.3211914209393967
243,0.32110418088785375
244,0.320469626402995
245,0.3203979115729778
246,0.32026365827174114
247,0.32025739960475974
248,0.320192111316236
249,0.32009956936105344
250,0.31992965286282304
251,0.31932936299724207
252,0.3193193546044647
253,0.31878458423661027
254,0.3187633515176538
255,0.31864479699695636
256,0.31854384138897524
257,0.31815364923908185
258,0.31807180288222475
259,0.3175804098159655
260,0.3175516014182365
261,0.31687034396576913
262,0.3161454391766622
263,0.3159515001221185
264,0.3150236343839363
265,0.31487654308508867
266,0.3146583658124411
267,0.31441940672621876
268,0.31437157310827907
269,0.31395306826773817
270,0.3133931393427873
271,0.3133596871142362
272,0.3123284179868483
273,0.31198825875747216
274,0.3115675050409406
275,0.3113854937916407
276,0.3113285205041202
277,0.3107103168457165
278,0.3103742404289941
279,0.30979117104144993
280,0.30978135546718205
281,0.3097329757003906
282,0.30958457558801916
283,0.3095015535950443
284,0.30910773696419397
285,0.30852756941376497
286,0.30844486257157516
287,0.3084192854600951
288,0.3080083674200557
289,0.3079475700872141
290,0.30756533393574015
291,0.30734873636186416
292,0.3069727985807781
293,0.30664746438965507
294,0.3062126185330471
295,0.3061271768657654
296,0.3055067984017805
297,0.3054595254109973
298,0.30493485196867876
299,0.3043800731404311
300,0.3041084417218298
301,0.3038944394847124
302,0.30380472538718356
303,0.3037442268199539
304,0.30335480780961355
305,0.3032516274186559
306,0.30308892142177013
307,0.3029731413530013
308,0.30292569067442915
309,0.30291696588412065
310,0.3025025352794008
311,0.30240821837437243
312,0.3016202993072844
313,0.3009433417531235
314,0.30087618864222937
315,0.3004799902704437
316,0.3004762957627255
317,0.30044133226759207
318,0.3000713142647895
319,0.30000081669132617
320,0.29982218847113035
321,0.29944287371108663
322,0.29899677225793536
323,0.2985217622322339
324,0.297923715755669
325,0.29790825317806297
326,0.29773447235699846
327,0.2976461084149297
328,0.2973724952694524
329,0.2971569423449222
330,0.29510411873946585
331,0.29508804914793
332,0.2949786680722343
333,0.2949645610348427
334,0.2945312781361107
335,0.2944930129190936
336,0.2943367470170611
337,0.2939658883527918
338,0.2933673503480916
339,0.2924274591688201
340,0.29186750713036963
341,0.2914177096187119
342,0.2913133992947601
343,0.29127665624432336
344,0.2912662494529115
345,0.2912568689046345
346,0.2911197287325932
347,0.2904945703179448
348,0.28956377967162317
349,0.28954116349037967
350,0.28904940964197756
351,0.2890273215387703
352,0.2886511673646912
353,0.28853389856692885
354,0.28757135509452664
355,0.28751774021829846
356,0.2874344585473328
357,0.2874307831537575
358,0.28741405295735545
359,0.2872832070779719
360,0.28722375667093575
361,0.28694540646602
362,0.2859398871540873
363,0.2858534362993601
364,0.2858058222162937
365,0.2856195825000392
366,0.285597744640019
367,0.2855456123927098
368,0.2855335567138805
369,0.2855112262505297
370,0.28446788338038753
371,0.28423441999439786
372,0.28390943467284785
373,0.2827705763397098
374,0.28077389267397435
375,0.2806642798173588
376,0.2805062071738552
377,0.2805000329400369
378,0.2804698530809455
379,0.28044382240576937
380,0.28043341316490905
381,0.280109241438539
382,0.27969592126374254
383,0.2792501561070473
384,0.2786668215258023
385,0.2782859629994147
386,0.27814337825814084
387,0.278139438519456
388,0.27811898956181774
