Iteration,ObjectiveFunctionValue
1,4.916529107015172
2,2.571008001241567
3,2.5650692845684477
4,2.545234902155015
5,2.5452189117943207
6,2.522552634087013
7,2.522512333362231
8,2.521991517273888
9,2.509210868646262
10,2.509180390224873
11,2.507792548988572
12,2.501483965667476
13,2.4997165130547376
14,2.487830381885968
15,2.4853081307500284
16,2.4637978153814086
17,2.3756763390391074
18,2.3755781369448927
19,2.3344425167632816
20,2.298853076407076
21,2.2722781970923305
22,2.2677989397388063
23,2.183323585438207
24,2.183165247569867
25,2.1637343555440594
26,2.163507995011079
27,2.163077946377644
28,2.135877155347127
29,2.1036198931694345
30,1.9323457914095756
31,1.9005479159174465
32,1.900330034497493
33,1.87436400727712
34,1.4871879418224287
35,1.4828575607330399
36,1.2714038870833335
37,1.240432472680878
38,1.2299239126061132
39,0.8752904664873805
40,0.8742323398661248
41,0.7864935772829932
42,0.7768598434163922
43,0.552041059917199
44,0.3046850998976767
45,0.277516884729764
46,0.2599838231094254
47,0.2485476434947924
48,0.248385307818267
49,0.24820922740277826
50,0.24659573826907122
51,0.2457447212003641
52,0.24553557397459874
53,0.24548082220359999
54,0.24539558577351414
55,0.2453807323918998
56,0.24516943702994837
57,0.24515567475064676
58,0.24514733518077642
59,0.24510629790129507
60,0.24509738622251845
61,0.2450532538605448
62,0.24450433519951764
63,0.24443413819806123
64,0.24441182145957283
65,0.2443406268476308
66,0.24382196739041995
67,0.24375999224740744
68,0.24375928974883088
69,0.24375761585965122
70,0.24344952626965935
71,0.24325856516154487
72,0.24292364207491046
73,0.2428740283721108
74,0.24277160574403886
75,0.2427332136586703
76,0.2427100500058167
77,0.24266241683390294
78,0.24249199699208193
79,0.24238005601697166
80,0.24235020434986015
81,0.24220271998585996
82,0.2421674351217497
83,0.24187293744364122
84,0.24180766970123976
85,0.24170326936258416
86,0.2416918739699528
87,0.2416799571274044
88,0.24109949383170512
89,0.24076820184192474
90,0.24076468531317624
91,0.24075692350898814
92,0.240738339693708
93,0.24073658385666352
94,0.24073485279402196
95,0.24071091806294362
96,0.2401599583606241
97,0.24013284979831298
98,0.23985928263220221
99,0.23985815127086246
100,0.23985282916030706
101,0.2398450849897159
102,0.23983580281071984
103,0.23967489165954975
104,0.23953638875345515
105,0.23938103494814839
106,0.2391769057738192
107,0.23906639181321068
108,0.2388485950655929
109,0.23884850724734216
110,0.23883832373884484
111,0.23879756011918452
112,0.23837487212160233
113,0.23784096352756967
114,0.23776831131779252
115,0.2377205320475794
116,0.23746993950761283
117,0.23738664680893612
118,0.23737210071354647
119,0.23733909767197905
120,0.23709177660378156
121,0.2369215551578043
122,0.23688879317782927
123,0.2363713800752933
124,0.23631252721036194
125,0.23598064931576718
126,0.23593222958764928
127,0.2358838866994341
128,0.23584887639918956
129,0.23584014943814308
130,0.23580986759592695
131,0.23526389744388176
132,0.23524067213885236
133,0.234890803163571
134,0.21621302359782038
135,0.21508576967643878
136,0.21477675040893163
137,0.20232366781822364
138,0.1757228204335721
139,0.1671201830348707
140,0.12271349466436803
141,0.12260768120670104
142,0.11606717624553146
143,0.1063446862064705
144,0.10421539396090586
145,0.098830549590323
146,0.0871139778802495
147,0.08331612335574258
148,0.08291615787906352
149,0.08277906898484812
150,0.08227972532534027
151,0.08214241359766845
152,0.0819284777126377
153,0.08119336117008719
154,0.08103520220266168
155,0.08101417780595091
156,0.08086848777153294
157,0.08086824782341717
158,0.08081027036581433
159,0.08076765327746555
160,0.08059046058411201
161,0.08055112002705575
162,0.08040986281621124
163,0.08040390054015503
164,0.0803303731984518
165,0.08032888884909437
166,0.08024420610066926
167,0.079943444084159
168,0.07986433426024063
169,0.07980814263480346
170,0.07973233988764128
171,0.07973194131099018
172,0.07971966998413509
173,0.07971075026903399
174,0.07958882795705115
175,0.07954831082171832
176,0.07946177071298599
177,0.07923635537140623
178,0.0792342277819332
179,0.07922935434762267
180,0.07922551729568982
181,0.07922507974067731
182,0.07903300799782909
183,0.07901944951616544
184,0.07856995330694307
185,0.07854211050546242
186,0.07816949959184573
187,0.07785460915516648
188,0.07753810398611627
189,0.0772821078577028
190,0.07712331085380544
191,0.0764691773588353
192,0.07633775771783169
193,0.07613373167589325
194,0.07594699096724054
195,0.07557504425600474
196,0.0754267263065637
197,0.07493849355490682
198,0.07493738838457761
199,0.0732021420435477
200,0.07299964185514081
201,0.0708248641451718
202,0.06855012590890423
203,0.06780229415732526
204,0.06773756269320841
205,0.06653567518113823
206,0.06645653170075307
207,0.06635957566904183
208,0.065862900701885
209,0.06580444202632345
210,0.06575717862522334
211,0.06574820933857921
212,0.06561475006356117
213,0.06548107351801319
214,0.06540776055220032
215,0.06499537066815564
216,0.06494486715904252
217,0.06486793641449434
218,0.06478994923895989
219,0.06478186990309609
220,0.06467952417424003
