Time_Dimensionless,R_Calculated,File
65.47668789292504,0.08263817726510214,data/Set D - 1 hr.csv
196.87966635587463,0.16471857463309858,data/Set D - 1 hr.csv
326.45947540344184,0.21396517425660366,data/Set D - 1 hr.csv
652.4560464920751,0.31295734030617195,data/Set D - 1 hr.csv
1303.9869410161627,0.4729273740554779,data/Set D - 1 hr.csv
1939.086015352536,0.5929238990921334,data/Set D - 1 hr.csv
2596.0064939887516,0.6883796239392579,data/Set D - 1 hr.csv
3227.86183735042,0.7590072225969087,data/Set D - 1 hr.csv
3905.69166395244,0.8170802993940747,data/Set D - 1 hr.csv
5249.236069159318,0.8940956887063967,data/Set D - 1 hr.csv
6577.853033171955,0.9383115522830718,data/Set D - 1 hr.csv
7866.813153599348,0.9634826112424444,data/Set D - 1 hr.csv
54.697549270345895,0.07214032882052446,data/Set D - 12 hr.csv
160.0500760319203,0.14718770640517032,data/Set D - 12 hr.csv
265.389843587078,0.1923415675529898,data/Set D - 12 hr.csv
530.4033767498652,0.27789503219074985,data/Set D - 12 hr.csv
791.8074105334638,0.3508374536914367,data/Set D - 12 hr.csv
1051.8392272203666,0.4159980640148768,data/Set D - 12 hr.csv
1576.3479791184961,0.5282022049275524,data/Set D - 12 hr.csv
2102.186996258139,0.6190546849829608,data/Set D - 12 hr.csv
2634.2646666958376,0.6931915870585055,data/Set D - 12 hr.csv
3162.7402494940316,0.7525381662811051,data/Set D - 12 hr.csv
4217.7688631234905,0.8388872961943148,data/Set D - 12 hr.csv
5285.314536273426,0.8956385467592692,data/Set D - 12 hr.csv
6370.366309578363,0.9328790843142398,data/Set D - 12 hr.csv
53.80992485948269,0.0712330537435133,data/Set D - 24 hr.csv
159.92199534950618,0.14712193341791013,data/Set D - 24 hr.csv
266.21104043454886,0.19264663825535633,data/Set D - 24 hr.csv
529.9789193673945,0.27776972567385905,data/Set D - 24 hr.csv
791.1737635276904,0.35067007937891015,data/Set D - 24 hr.csv
1050.997489222582,0.4157980704153874,data/Set D - 24 hr.csv
1550.7672189394348,0.5232673093847474,data/Set D - 24 hr.csv
2100.504712701426,0.6187939150173601,data/Set D - 24 hr.csv
2621.9371216539707,0.6916492463527417,data/Set D - 24 hr.csv
3147.939601945482,0.7510438447756703,data/Set D - 24 hr.csv
4198.031007510996,0.8375885584570951,data/Set D - 24 hr.csv
5260.580896624352,0.894583281149582,data/Set D - 24 hr.csv
6340.55496275078,0.9320602002127075,data/Set D - 24 hr.csv
71.97444977939799,0.08853606367022837,data/Set D - 48 hr.csv
214.7403304087995,0.17241812080591712,data/Set D - 48 hr.csv
356.0754490842149,0.2238625994557828,data/Set D - 48 hr.csv
708.8830027375536,0.3285593513444933,data/Set D - 48 hr.csv
1411.2602054946228,0.49543182009498343,data/Set D - 48 hr.csv
2123.240922088115,0.6223031973094365,data/Set D - 48 hr.csv
2842.549107019172,0.718114776957757,data/Set D - 48 hr.csv
3520.689212331658,0.7860688865670906,data/Set D - 48 hr.csv
4276.615014937491,0.8426980206301311,data/Set D - 48 hr.csv
5659.010615367953,0.9103554271836733,data/Set D - 48 hr.csv
7091.344271573033,0.9499398783194464,data/Set D - 48 hr.csv
8580.480082766082,0.9726834850088536,data/Set D - 48 hr.csv
52.7745868489153,0.07016611814048446,data/Set D - 6 hr.csv
156.84499193281033,0.14553011739024424,data/Set D - 6 hr.csv
261.0889665644243,0.19073595529244403,data/Set D - 6 hr.csv
521.8077211814959,0.2753525557748353,data/Set D - 6 hr.csv
775.9510647948207,0.346636008462212,data/Set D - 6 hr.csv
1038.826533129521,0.41289863130660187,data/Set D - 6 hr.csv
1550.801866898296,0.5232740282613949,data/Set D - 6 hr.csv
2068.119197597571,0.6137389113813418,data/Set D - 6 hr.csv
2601.675198238328,0.6890973457806802,data/Set D - 6 hr.csv
3099.4047689082763,0.7460800067394504,data/Set D - 6 hr.csv
4149.416190505004,0.834344911680968,data/Set D - 6 hr.csv
5199.661342216102,0.8919384047441501,data/Set D - 6 hr.csv
6242.796487241862,0.9293041363202129,data/Set D - 6 hr.csv
